pclass,survived,sex,age,adult,fare,embarked,
3.00,0.00,0.00,27.00,1.00,14.45,C,
3.00,0.00,0.00,27.00,1.00,7.23,C,
1.00,1.00,1.00,27.00,1.00,247.52,C,
2.00,1.00,1.00,27.00,1.00,13.86,C,
1.00,0.00,0.00,28.00,1.00,82.17,C,
2.00,1.00,1.00,28.00,1.00,24.00,C,
1.00,0.00,0.00,28.50,1.00,27.72,C,
3.00,0.00,0.00,28.50,1.00,7.23,C,
2.00,0.00,0.00,29.00,1.00,27.72,C,
2.00,1.00,0.00,29.00,1.00,13.86,C,
3.00,1.00,0.00,29.00,1.00,7.90,C,
3.00,1.00,1.00,29.00,1.00,15.25,C,
1.00,0.00,0.00,30.00,1.00,27.75,C,
1.00,1.00,0.00,30.00,1.00,57.75,C,
2.00,0.00,0.00,30.00,1.00,24.00,C,
2.00,1.00,0.00,30.00,1.00,12.74,C,
3.00,0.00,0.00,30.00,1.00,7.23,C,
3.00,0.00,0.00,30.00,1.00,7.23,C,
1.00,1.00,1.00,30.00,1.00,56.93,C,
1.00,1.00,1.00,30.00,1.00,106.43,C,
1.00,1.00,1.00,30.00,1.00,31.00,C,
2.00,1.00,1.00,30.00,1.00,13.86,C,
1.00,1.00,0.00,31.00,1.00,28.54,C,
2.00,0.00,0.00,31.00,1.00,37.00,C,
1.00,1.00,1.00,31.00,1.00,134.50,C,
1.00,1.00,1.00,31.00,1.00,113.28,C,
1.00,1.00,0.00,32.00,1.00,30.50,C,
1.00,1.00,1.00,32.00,1.00,76.29,C,
1.00,0.00,0.00,32.50,1.00,211.50,C,
2.00,0.00,0.00,32.50,1.00,30.07,C,
3.00,0.00,0.00,33.00,1.00,7.90,C,
3.00,0.00,0.00,33.00,1.00,8.66,C,
1.00,1.00,1.00,33.00,1.00,27.72,C,
3.00,0.00,0.00,34.50,1.00,6.44,C,
1.00,1.00,0.00,35.00,1.00,512.33,C,
1.00,1.00,0.00,35.00,1.00,26.55,C,
3.00,0.00,0.00,35.00,1.00,7.90,C,
1.00,1.00,1.00,35.00,1.00,512.33,C,
1.00,1.00,1.00,35.00,1.00,211.50,C,
1.00,1.00,1.00,35.00,1.00,57.75,C,
1.00,0.00,0.00,36.00,1.00,75.24,C,
1.00,0.00,0.00,36.00,1.00,40.13,C,
1.00,1.00,0.00,36.00,1.00,512.33,C,
2.00,0.00,0.00,36.00,1.00,12.88,C,
1.00,0.00,1.00,36.00,1.00,31.68,C,
1.00,1.00,1.00,36.00,1.00,262.38,C,
1.00,1.00,1.00,36.00,1.00,135.63,C,
1.00,0.00,0.00,37.00,1.00,83.16,C,
1.00,0.00,0.00,37.00,1.00,29.70,C,
1.00,1.00,1.00,38.00,1.00,71.28,C,
1.00,1.00,1.00,38.00,1.00,227.53,C,
3.00,1.00,1.00,38.00,1.00,7.23,C,
1.00,0.00,0.00,39.00,1.00,71.28,C,
1.00,0.00,0.00,39.00,1.00,29.70,C,
3.00,0.00,0.00,39.00,1.00,7.23,C,
3.00,1.00,0.00,39.00,1.00,13.42,C,
1.00,1.00,1.00,39.00,1.00,110.88,C,
1.00,1.00,1.00,39.00,1.00,108.90,C,
1.00,1.00,1.00,39.00,1.00,83.16,C,
1.00,0.00,0.00,40.00,1.00,27.72,C,
1.00,1.00,0.00,40.00,1.00,31.00,C,
3.00,0.00,0.00,40.00,1.00,7.23,C,
1.00,1.00,1.00,40.00,1.00,134.50,C,
2.00,0.00,0.00,41.00,1.00,15.05,C,
1.00,1.00,1.00,41.00,1.00,134.50,C,
1.00,1.00,1.00,42.00,1.00,227.53,C,
1.00,1.00,0.00,43.00,1.00,27.72,C,
1.00,1.00,1.00,43.00,1.00,55.44,C,
1.00,1.00,1.00,44.00,1.00,57.98,C,
1.00,1.00,1.00,44.00,1.00,27.72,C,
1.00,1.00,0.00,45.00,1.00,134.50,C,
1.00,1.00,0.00,45.00,1.00,29.70,C,
1.00,1.00,1.00,45.00,1.00,262.38,C,
1.00,1.00,1.00,45.00,1.00,59.40,C,
1.00,1.00,1.00,45.00,1.00,63.36,C,
3.00,1.00,1.00,45.00,1.00,7.23,C,
3.00,0.00,1.00,45.00,1.00,14.45,C,
3.00,0.00,0.00,45.50,1.00,7.23,C,
1.00,0.00,0.00,46.00,1.00,79.20,C,
1.00,0.00,0.00,46.00,1.00,75.24,C,
1.00,0.00,0.00,46.00,1.00,79.20,C,
1.00,0.00,0.00,47.00,1.00,227.53,C,
1.00,0.00,0.00,48.00,1.00,50.50,C,
1.00,1.00,0.00,48.00,1.00,76.73,C,
1.00,1.00,1.00,48.00,1.00,39.60,C,
1.00,1.00,1.00,48.00,1.00,106.43,C,
1.00,1.00,1.00,48.00,1.00,262.38,C,
1.00,1.00,1.00,48.00,1.00,79.20,C,
1.00,0.00,0.00,49.00,1.00,110.88,C,
1.00,1.00,0.00,49.00,1.00,56.93,C,
1.00,1.00,0.00,49.00,1.00,89.10,C,
1.00,1.00,1.00,49.00,1.00,76.73,C,
1.00,0.00,0.00,50.00,1.00,106.43,C,
1.00,0.00,0.00,50.00,1.00,211.50,C,
1.00,0.00,1.00,50.00,1.00,28.71,C,
1.00,1.00,1.00,50.00,1.00,211.50,C,
1.00,1.00,1.00,50.00,1.00,247.52,C,
1.00,0.00,0.00,51.00,1.00,61.38,C,
1.00,1.00,1.00,52.00,1.00,78.27,C,
1.00,1.00,0.00,53.00,1.00,28.50,C,
1.00,1.00,1.00,53.00,1.00,27.45,C,
1.00,1.00,0.00,54.00,1.00,55.44,C,
1.00,1.00,1.00,54.00,1.00,78.27,C,
1.00,1.00,1.00,54.00,1.00,59.40,C,
1.00,0.00,0.00,55.00,1.00,59.40,C,
1.00,1.00,1.00,55.00,1.00,27.72,C,
1.00,1.00,1.00,55.00,1.00,135.63,C,
1.00,0.00,0.00,56.00,1.00,30.70,C,
1.00,1.00,0.00,56.00,1.00,35.50,C,
1.00,1.00,1.00,56.00,1.00,83.16,C,
1.00,0.00,0.00,57.00,1.00,146.52,C,
1.00,0.00,0.00,58.00,1.00,29.70,C,
1.00,0.00,0.00,58.00,1.00,113.28,C,
1.00,1.00,1.00,58.00,1.00,146.52,C,
1.00,1.00,1.00,58.00,1.00,512.33,C,
1.00,1.00,0.00,60.00,1.00,79.20,C,
1.00,1.00,1.00,60.00,1.00,75.25,C,
1.00,1.00,1.00,60.00,1.00,76.29,C,
1.00,0.00,0.00,61.00,1.00,262.38,C,
1.00,0.00,0.00,64.00,1.00,75.25,C,
1.00,1.00,1.00,64.00,1.00,83.16,C,
1.00,0.00,0.00,65.00,1.00,61.98,C,
1.00,0.00,0.00,71.00,1.00,49.50,C,
1.00,0.00,0.00,71.00,1.00,34.65,C,
3.00,0.00,0.00,2.00,0.00,29.13,Q,
3.00,0.00,0.00,4.00,0.00,29.13,Q,
3.00,0.00,0.00,7.00,0.00,29.13,Q,
3.00,0.00,0.00,8.00,0.00,29.13,Q,
3.00,0.00,0.00,10.00,0.00,29.13,Q,
3.00,1.00,1.00,15.00,0.00,8.03,Q,
3.00,1.00,1.00,16.00,0.00,7.75,Q,
3.00,1.00,1.00,16.00,0.00,7.73,Q,
3.00,0.00,1.00,17.00,0.00,7.73,Q,
3.00,0.00,1.00,18.00,0.00,7.88,Q,
3.00,0.00,1.00,18.00,0.00,6.75,Q,
3.00,0.00,1.00,18.50,1.00,7.28,Q,
3.00,0.00,0.00,19.00,1.00,6.75,Q,
3.00,1.00,1.00,19.00,1.00,7.88,Q,
3.00,0.00,0.00,21.00,1.00,7.75,Q,
3.00,0.00,0.00,21.00,1.00,7.73,Q,
3.00,1.00,0.00,21.00,1.00,7.82,Q,
3.00,0.00,1.00,21.00,1.00,7.75,Q,
3.00,1.00,1.00,22.00,1.00,7.73,Q,
3.00,1.00,1.00,22.00,1.00,7.75,Q,
3.00,0.00,0.00,24.00,1.00,7.25,Q,
3.00,0.00,1.00,24.00,1.00,7.75,Q,
3.00,1.00,1.00,24.00,1.00,7.75,Q,
3.00,0.00,0.00,25.00,1.00,7.74,Q,
3.00,0.00,0.00,26.00,1.00,7.88,Q,
3.00,0.00,1.00,27.00,1.00,7.88,Q,
3.00,1.00,0.00,29.00,1.00,7.75,Q,
2.00,1.00,1.00,30.00,1.00,12.35,Q,
3.00,0.00,1.00,30.00,1.00,7.63,Q,
3.00,1.00,1.00,30.00,1.00,6.95,Q,
3.00,0.00,1.00,30.50,1.00,7.75,Q,
3.00,0.00,0.00,31.00,1.00,7.73,Q,
3.00,0.00,0.00,31.00,1.00,7.75,Q,
3.00,0.00,0.00,32.00,1.00,7.75,Q,
3.00,0.00,1.00,32.00,1.00,15.50,Q,
1.00,1.00,1.00,33.00,1.00,90.00,Q,
3.00,0.00,0.00,34.50,1.00,7.83,Q,
2.00,0.00,0.00,35.00,1.00,12.35,Q,
3.00,0.00,1.00,35.00,1.00,7.75,Q,
1.00,1.00,1.00,37.00,1.00,90.00,Q,
3.00,0.00,1.00,37.00,1.00,7.75,Q,
3.00,0.00,1.00,39.00,1.00,29.13,Q,
3.00,0.00,0.00,40.00,1.00,15.50,Q,
3.00,0.00,0.00,40.50,1.00,7.75,Q,
1.00,0.00,0.00,44.00,1.00,90.00,Q,
2.00,0.00,0.00,57.00,1.00,12.35,Q,
2.00,0.00,0.00,61.00,1.00,12.35,Q,
2.00,0.00,0.00,62.00,1.00,9.69,Q,
3.00,0.00,0.00,65.00,1.00,7.75,Q,
3.00,0.00,0.00,70.50,1.00,7.75,Q,
2.00,1.00,0.00,0.67,0.00,14.50,S,
3.00,0.00,0.00,0.75,0.00,13.78,S,
2.00,1.00,0.00,0.83,0.00,18.75,S,
2.00,1.00,0.00,0.83,0.00,29.00,S,
3.00,1.00,0.00,0.83,0.00,9.35,S,
1.00,1.00,0.00,0.92,0.00,151.55,S,
2.00,1.00,1.00,0.92,0.00,27.75,S,
3.00,0.00,0.00,1.00,0.00,14.40,S,
2.00,1.00,0.00,1.00,0.00,39.00,S,
3.00,0.00,0.00,1.00,0.00,46.90,S,
3.00,0.00,0.00,1.00,0.00,39.69,S,
3.00,1.00,0.00,1.00,0.00,20.58,S,
3.00,1.00,1.00,1.00,0.00,20.58,S,
3.00,0.00,1.00,1.00,0.00,12.18,S,
3.00,1.00,1.00,1.00,0.00,16.70,S,
3.00,1.00,1.00,1.00,0.00,11.13,S,
2.00,1.00,0.00,2.00,0.00,26.00,S,
2.00,1.00,0.00,2.00,0.00,23.00,S,
3.00,0.00,0.00,2.00,0.00,21.08,S,
3.00,0.00,0.00,2.00,0.00,39.69,S,
1.00,0.00,1.00,2.00,0.00,151.55,S,
2.00,1.00,1.00,2.00,0.00,26.00,S,
3.00,0.00,1.00,2.00,0.00,31.28,S,
3.00,0.00,1.00,2.00,0.00,20.21,S,
3.00,0.00,1.00,2.00,0.00,27.90,S,
3.00,0.00,1.00,2.00,0.00,10.46,S,
3.00,1.00,1.00,2.00,0.00,12.29,S,
2.00,1.00,0.00,3.00,0.00,26.00,S,
2.00,1.00,0.00,3.00,0.00,18.75,S,
3.00,1.00,0.00,3.00,0.00,15.90,S,
3.00,1.00,0.00,3.00,0.00,31.39,S,
3.00,0.00,1.00,3.00,0.00,21.08,S,
3.00,0.00,1.00,3.00,0.00,13.78,S,
1.00,1.00,0.00,4.00,0.00,81.86,S,
3.00,0.00,0.00,4.00,0.00,31.28,S,
3.00,0.00,0.00,4.00,0.00,27.90,S,
3.00,1.00,0.00,4.00,0.00,11.13,S,
2.00,1.00,1.00,4.00,0.00,39.00,S,
2.00,1.00,1.00,4.00,0.00,23.00,S,
3.00,1.00,1.00,4.00,0.00,22.03,S,
3.00,1.00,1.00,4.00,0.00,16.70,S,
3.00,0.00,0.00,5.00,0.00,31.39,S,
2.00,1.00,1.00,5.00,0.00,27.75,S,
3.00,1.00,1.00,5.00,0.00,12.48,S,
3.00,1.00,1.00,5.00,0.00,31.39,S,
3.00,0.00,0.00,6.00,0.00,21.08,S,
3.00,1.00,0.00,6.00,0.00,12.48,S,
2.00,1.00,1.00,6.00,0.00,33.00,S,
3.00,0.00,1.00,6.00,0.00,31.28,S,
3.00,0.00,0.00,7.00,0.00,39.69,S,
2.00,1.00,1.00,7.00,0.00,26.25,S,
2.00,1.00,0.00,8.00,0.00,32.50,S,
2.00,1.00,0.00,8.00,0.00,36.75,S,
2.00,1.00,1.00,8.00,0.00,26.00,S,
2.00,1.00,1.00,8.00,0.00,26.25,S,
3.00,0.00,1.00,8.00,0.00,21.08,S,
3.00,0.00,0.00,9.00,0.00,31.39,S,
3.00,1.00,0.00,9.00,0.00,20.53,S,
3.00,0.00,0.00,9.00,0.00,46.90,S,
3.00,1.00,0.00,9.00,0.00,15.90,S,
3.00,1.00,0.00,9.00,0.00,3.17,S,
3.00,0.00,1.00,9.00,0.00,31.28,S,
3.00,0.00,1.00,9.00,0.00,34.38,S,
3.00,0.00,1.00,9.00,0.00,27.90,S,
3.00,0.00,0.00,10.00,0.00,27.90,S,
3.00,0.00,1.00,10.00,0.00,46.90,S,
3.00,0.00,1.00,10.00,0.00,24.15,S,
1.00,1.00,0.00,11.00,0.00,120.00,S,
3.00,0.00,0.00,11.00,0.00,46.90,S,
3.00,0.00,1.00,11.00,0.00,31.28,S,
3.00,0.00,0.00,11.50,0.00,14.50,S,
2.00,1.00,1.00,12.00,0.00,15.75,S,
2.00,1.00,1.00,12.00,0.00,39.00,S,
3.00,0.00,0.00,13.00,0.00,20.25,S,
3.00,0.00,0.00,13.00,0.00,31.39,S,
2.00,1.00,1.00,13.00,0.00,19.50,S,
2.00,0.00,0.00,14.00,0.00,65.00,S,
3.00,0.00,0.00,14.00,0.00,46.90,S,
3.00,0.00,0.00,14.00,0.00,39.69,S,
3.00,1.00,0.00,14.00,0.00,9.23,S,
1.00,1.00,1.00,14.00,0.00,120.00,S,
3.00,0.00,1.00,14.00,0.00,7.85,S,
3.00,0.00,0.00,14.50,0.00,69.55,S,
1.00,1.00,1.00,15.00,0.00,211.34,S,
2.00,1.00,1.00,15.00,0.00,39.00,S,
2.00,0.00,0.00,16.00,0.00,26.00,S,
2.00,0.00,0.00,16.00,0.00,10.50,S,
3.00,0.00,0.00,16.00,0.00,20.25,S,
3.00,0.00,0.00,16.00,0.00,9.50,S,
3.00,0.00,0.00,16.00,0.00,7.78,S,
3.00,0.00,0.00,16.00,0.00,34.38,S,
3.00,0.00,0.00,16.00,0.00,9.22,S,
3.00,0.00,0.00,16.00,0.00,39.69,S,
3.00,0.00,0.00,16.00,0.00,8.05,S,
3.00,1.00,0.00,16.00,0.00,8.05,S,
3.00,0.00,0.00,16.00,0.00,18.00,S,
1.00,1.00,1.00,16.00,0.00,86.50,S,
1.00,1.00,1.00,16.00,0.00,39.40,S,
3.00,0.00,1.00,16.00,0.00,46.90,S,
3.00,1.00,1.00,16.00,0.00,7.65,S,
1.00,0.00,0.00,17.00,0.00,47.10,S,
2.00,0.00,0.00,17.00,0.00,73.50,S,
3.00,0.00,0.00,17.00,0.00,8.66,S,
3.00,0.00,0.00,17.00,0.00,8.66,S,
3.00,0.00,0.00,17.00,0.00,8.66,S,
3.00,0.00,0.00,17.00,0.00,8.05,S,
3.00,0.00,0.00,17.00,0.00,7.90,S,
3.00,0.00,0.00,17.00,0.00,7.05,S,
3.00,0.00,0.00,17.00,0.00,7.13,S,
3.00,0.00,0.00,17.00,0.00,8.66,S,
1.00,1.00,1.00,17.00,0.00,57.00,S,
2.00,1.00,1.00,17.00,0.00,10.50,S,
3.00,1.00,1.00,17.00,0.00,7.93,S,
3.00,1.00,1.00,17.00,0.00,16.10,S,
2.00,0.00,0.00,18.00,0.00,11.50,S,
2.00,0.00,0.00,18.00,0.00,11.50,S,
2.00,0.00,0.00,18.00,0.00,73.50,S,
2.00,0.00,0.00,18.00,0.00,73.50,S,
2.00,0.00,0.00,18.00,0.00,13.00,S,
2.00,0.00,0.00,18.00,0.00,10.50,S,
3.00,0.00,0.00,18.00,0.00,8.30,S,
3.00,0.00,0.00,18.00,0.00,7.75,S,
3.00,0.00,0.00,18.00,0.00,8.66,S,
3.00,0.00,0.00,18.00,0.00,7.78,S,
3.00,0.00,0.00,18.00,0.00,7.80,S,
3.00,0.00,0.00,18.00,0.00,34.38,S,
3.00,0.00,0.00,18.00,0.00,7.85,S,
3.00,0.00,0.00,18.00,0.00,7.75,S,
3.00,0.00,0.00,18.00,0.00,20.21,S,
3.00,0.00,0.00,18.00,0.00,6.50,S,
3.00,1.00,0.00,18.00,0.00,8.05,S,
1.00,1.00,1.00,18.00,0.00,60.00,S,
1.00,1.00,1.00,18.00,0.00,79.65,S,
1.00,1.00,1.00,18.00,0.00,53.10,S,
2.00,1.00,1.00,18.00,0.00,23.00,S,
2.00,0.00,1.00,18.00,0.00,13.00,S,
2.00,1.00,1.00,18.00,0.00,13.00,S,
3.00,0.00,1.00,18.00,0.00,17.80,S,
3.00,1.00,1.00,18.00,0.00,8.05,S,
3.00,1.00,1.00,18.00,0.00,7.78,S,
3.00,0.00,1.00,18.00,0.00,7.78,S,
3.00,0.00,1.00,18.00,0.00,18.00,S,
3.00,1.00,1.00,18.00,0.00,9.35,S,
3.00,1.00,1.00,18.00,0.00,9.84,S,
3.00,1.00,1.00,18.00,0.00,7.50,S,
2.00,0.00,0.00,18.50,1.00,13.00,S,
1.00,0.00,0.00,19.00,1.00,263.00,S,
1.00,0.00,0.00,19.00,1.00,53.10,S,
2.00,0.00,0.00,19.00,1.00,13.00,S,
2.00,1.00,0.00,19.00,1.00,10.50,S,
2.00,0.00,0.00,19.00,1.00,36.75,S,
2.00,0.00,0.00,19.00,1.00,10.50,S,
2.00,0.00,0.00,19.00,1.00,10.50,S,
3.00,0.00,0.00,19.00,1.00,8.05,S,
3.00,0.00,0.00,19.00,1.00,7.90,S,
3.00,0.00,0.00,19.00,1.00,8.16,S,
3.00,0.00,0.00,19.00,1.00,10.17,S,
3.00,1.00,0.00,19.00,1.00,8.05,S,
3.00,0.00,0.00,19.00,1.00,7.78,S,
3.00,0.00,0.00,19.00,1.00,0.00,S,
3.00,0.00,0.00,19.00,1.00,14.50,S,
3.00,0.00,0.00,19.00,1.00,7.90,S,
3.00,0.00,0.00,19.00,1.00,7.65,S,
3.00,0.00,0.00,19.00,1.00,7.90,S,
1.00,1.00,1.00,19.00,1.00,30.00,S,
1.00,1.00,1.00,19.00,1.00,26.28,S,
2.00,1.00,1.00,19.00,1.00,26.00,S,
2.00,1.00,1.00,19.00,1.00,13.00,S,
2.00,1.00,1.00,19.00,1.00,26.00,S,
3.00,0.00,1.00,19.00,1.00,16.10,S,
3.00,1.00,1.00,19.00,1.00,7.85,S,
3.00,0.00,0.00,20.00,1.00,7.93,S,
3.00,0.00,0.00,20.00,1.00,7.85,S,
3.00,0.00,0.00,20.00,1.00,7.05,S,
3.00,0.00,0.00,20.00,1.00,9.85,S,
3.00,0.00,0.00,20.00,1.00,9.50,S,
3.00,0.00,0.00,20.00,1.00,7.85,S,
3.00,0.00,0.00,20.00,1.00,9.23,S,
3.00,0.00,0.00,20.00,1.00,8.66,S,
3.00,0.00,0.00,20.00,1.00,8.05,S,
3.00,0.00,0.00,20.00,1.00,7.85,S,
3.00,1.00,0.00,20.00,1.00,7.93,S,
3.00,1.00,0.00,20.00,1.00,7.93,S,
2.00,1.00,1.00,20.00,1.00,23.00,S,
2.00,1.00,1.00,20.00,1.00,36.75,S,
2.00,1.00,1.00,20.00,1.00,26.00,S,
3.00,0.00,1.00,20.00,1.00,7.85,S,
3.00,0.00,1.00,20.00,1.00,9.83,S,
3.00,0.00,1.00,20.00,1.00,8.66,S,
3.00,0.00,0.00,20.50,1.00,7.25,S,
1.00,0.00,0.00,21.00,1.00,77.29,S,
2.00,0.00,0.00,21.00,1.00,11.50,S,
2.00,0.00,0.00,21.00,1.00,13.00,S,
2.00,0.00,0.00,21.00,1.00,11.50,S,
2.00,0.00,0.00,21.00,1.00,11.50,S,
2.00,0.00,0.00,21.00,1.00,73.50,S,
2.00,0.00,0.00,21.00,1.00,73.50,S,
3.00,0.00,0.00,21.00,1.00,7.78,S,
3.00,0.00,0.00,21.00,1.00,16.10,S,
3.00,0.00,0.00,21.00,1.00,8.05,S,
3.00,0.00,0.00,21.00,1.00,24.15,S,
3.00,0.00,0.00,21.00,1.00,7.85,S,
3.00,1.00,0.00,21.00,1.00,7.80,S,
3.00,0.00,0.00,21.00,1.00,8.43,S,
3.00,0.00,0.00,21.00,1.00,7.90,S,
3.00,0.00,0.00,21.00,1.00,7.85,S,
3.00,0.00,0.00,21.00,1.00,7.80,S,
3.00,0.00,0.00,21.00,1.00,8.66,S,
3.00,0.00,0.00,21.00,1.00,7.93,S,
3.00,0.00,0.00,21.00,1.00,8.05,S,
3.00,0.00,0.00,21.00,1.00,7.93,S,
3.00,0.00,0.00,21.00,1.00,8.05,S,
3.00,0.00,0.00,21.00,1.00,6.50,S,
3.00,0.00,0.00,21.00,1.00,7.25,S,
3.00,1.00,0.00,21.00,1.00,7.80,S,
3.00,1.00,0.00,21.00,1.00,7.78,S,
1.00,1.00,1.00,21.00,1.00,26.55,S,
1.00,1.00,1.00,21.00,1.00,77.96,S,
2.00,1.00,1.00,21.00,1.00,21.00,S,
2.00,1.00,1.00,21.00,1.00,10.50,S,
3.00,0.00,1.00,21.00,1.00,8.66,S,
3.00,0.00,1.00,21.00,1.00,34.38,S,
3.00,0.00,1.00,21.00,1.00,9.83,S,
3.00,1.00,1.00,21.00,1.00,7.65,S,
2.00,0.00,0.00,22.00,1.00,31.50,S,
2.00,1.00,0.00,22.00,1.00,10.50,S,
3.00,0.00,0.00,22.00,1.00,8.05,S,
3.00,0.00,0.00,22.00,1.00,9.35,S,
3.00,0.00,0.00,22.00,1.00,7.25,S,
3.00,0.00,0.00,22.00,1.00,7.80,S,
3.00,0.00,0.00,22.00,1.00,8.05,S,
3.00,0.00,0.00,22.00,1.00,7.25,S,
3.00,0.00,0.00,22.00,1.00,8.05,S,
3.00,0.00,0.00,22.00,1.00,7.80,S,
3.00,0.00,0.00,22.00,1.00,7.52,S,
3.00,0.00,0.00,22.00,1.00,7.78,S,
3.00,0.00,0.00,22.00,1.00,7.13,S,
3.00,0.00,0.00,22.00,1.00,7.90,S,
3.00,0.00,0.00,22.00,1.00,7.25,S,
3.00,0.00,0.00,22.00,1.00,7.90,S,
3.00,0.00,0.00,22.00,1.00,9.00,S,
1.00,1.00,1.00,22.00,1.00,55.00,S,
1.00,1.00,1.00,22.00,1.00,66.60,S,
1.00,1.00,1.00,22.00,1.00,151.55,S,
2.00,0.00,1.00,22.00,1.00,21.00,S,
2.00,1.00,1.00,22.00,1.00,29.00,S,
2.00,1.00,1.00,22.00,1.00,10.50,S,
3.00,0.00,1.00,22.00,1.00,10.52,S,
3.00,1.00,1.00,22.00,1.00,8.96,S,
3.00,0.00,1.00,22.00,1.00,8.66,S,
